"","user_id","created_at","followers_count","following_count","tweets_count","sensitive_tweets_count","retweets_average","mentions_average","sentiment_average","retweeted_sentiment_average","user_coef","poli_affil","poli_rating"
"217",12354832,2008,624824,2791,41257,0,332.4,0.99,0.176697,NA,1.90813159443026,"left",0.8
"218",12373612,2008,1294,4969,17374,0,4014.49,0.95,0.185065,NA,0.359564705709403,"left",0.444444444444444
"219",12493102,2008,1437,1137,16697,0,5265.26,1.03,0.039455,NA,0.373464529019181,"left",1.16666666666667
"220",12534082,2008,5084,3314,22554,0,5.51,0.76,0.386472,NA,-0.511160231720519,"left",1.15384615384615
"221",12578232,2008,677,1854,18969,0,249.58,0.27,0.014519,NA,-0.058087218696465,"left",1.16666666666667
"222",12578732,2008,254,1101,18981,0,7950.93,1.14,0.059312,NA,0.625405721298608,"left",1
"223",12626212,2008,426,1260,16749,0,1055.93001841621,1.24125230202578,-0.118034254143646,-0.122213583815029,-0.176435210931044,"right",1.6
"224",12670512,2008,31244,2022,4962,0,470.56125,0.98875,0.0663956875,NA,2.4772092067052,"left",0.875
"225",12716032,2008,79010,1384,424217,0,45.54,0.51,0.030979,NA,0.74264826776045,"left",0.981132075471698
"226",12797822,2008,107,96,13592,0,567.75,0.47625,-0.1108354375,NA,0.0267118506775636,"right",1.92857142857143
"227",12843902,2008,960,972,15457,0,6498.03,0.29,-0.107513,NA,1.50097373111666,"left",0.785714285714286
"228",13075912,2008,136,54,3606,0,227.08,1.34,0.075858,NA,-0.286195003209205,"left",1.05555555555556
"229",13102242,2008,1488,583,32466,0,633.04,0.3,0.110028,-0.0942176470588235,0.149234111176246,"left",1.16666666666667
"230",13111532,2008,10,17,2383,0,49.78,0.19,-0.003443,NA,1.13135192279861,"left",0.36
"231",13119612,2008,543,1578,19249,0,580.72,1.24,-0.040334,NA,-0.0457907849891079,"left",0.757575757575758
"232",13138012,2008,896,3301,20762,0,580.44,0.29,0.026449,0.172778947368421,0.954536639917038,"left",0.842105263157895
"233",13273432,2008,68,383,4968,0,5451.01,0.6,0.074929,NA,1.87621716389582,"left",0.727272727272727
"234",13367732,2008,94,883,2739,1,967.93573943662,1.5893485915493,-0.0712867957746479,-0.00210220048899755,0.186225028674523,"right",1.6
"235",13398542,2008,1456,2799,48107,0,1267.43,0.7,-0.011424,NA,1.40561044737255,"left",0.909090909090909
"236",13404292,2008,92901,6223,30093,0,2569.68,1.17,0.0598,NA,0.518354291526774,"left",1
"237",13480862,2008,464,700,21145,0,524.55,0.77,0.112,NA,0.625405721298608,"left",1
"238",13493792,2008,6696,1902,48376,0,1571.8,1.62,0.1082,NA,-0.0728494576457719,"left",1.04
"239",13494442,2008,5007,5324,34790,0,2310.25460574797,1.2822402358143,-0.0124469417833456,NA,-1.34831952326421,"right",1.45238095238095
"240",13524182,2008,584055,12570,274996,0,355.64,0.97,0.075198,NA,1.64710813728148,"left",0.857142857142857
"241",13526002,2008,2385,4595,46198,0,495.88,1.87,0.037947,NA,1.47154287364378,"left",0.857142857142857
"242",13544232,2008,4201,4573,60807,9,464.36980653346,0.980019029495718,-0.0460855692990802,NA,0.140910651205979,"right",0.842105263157895
